commebola,Unnamed: 0,X,hh_gps.latitude,hh_gps.longitude,marketclean,marketcomsum,marketmatch,hh_gps.altitude,hhnum,comm_dist_oth,drink_wat,water_time,toilet,floor,treat_time,birth_main,birth_loc,birth_time,comm_health,ch_or3_num,ch_or3_time,floor_oth,ch_or1_time,ch_or4_time,ch_or2_num,ch_or2_time,mark_other,finalend,drought,fire,distnone,othdist,clinunsp,trad,lgmoh,RedCross,cHWComm,WorkOth,fruit,wednesday,thursday,friday,saturday,whmatch,relclean,instanceName,deviceId,namevillage.1.altvillage,loc_adm1,loc_adm2,URBAN_OR_RURAL,OTHER_DETAILS,treat_mult,birth_mult,marktype,markday,border_crossing_type,border_crossing_name,border_crossing_dest,epidemic_specifics,treat_loc_specify,birmatron,loc_adm3,loc_adm4,District,Secteur_Rural,name_village,name_part_village,QUARTIER_OU_DISTRICT,alts_secteur_rurale.0.alt_secteur_rurale,names_part_village.4.alt_part_village,alt_secteur_urbain,date,alts_village.0.altvillage.1,alts_village.2.altvillage.1,constituency,gsm_service,birhome,instanceId,namevill,name_village
0,2035,2035,9.134391667000001,-10.58990333,Kobikoro,0,uuid:331dc188-cab0-4082-83c0-3fa43eb041ac,572.8,85,,8,30,6,1,170,5,2,170,1 3,2,3,,3,999995,999995,999995,"Le riz,le café, huile rouge ,,",5/25/2016 7:10,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,uuid:331dc188-cab0-4082-83c0-3fa43eb041ac,Secteur central,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070227317,999995,haute_guinee,faranah,2,"Dans la plane,entouré de mont(gbafara,kouloufandene et selibamandou).",11,14 16,1 3 4 5 97,4,999995,,,,La sous préfecture centrale.,1,faranah,kobikoro,Kondoleah,Secteur central,995,"Kouiya kissi,kolomba,l'amadou,kandadou,samandou.",,,,,5/24/2016,999995,999995,999995,999995,999995,uuid:0f07df04-da68-4abe-8471-bfe62c9c61f1,Secteur central,995
0,3251,3251,10.06057,-11.57948167,Sogoreyah,3,uuid:6eb96897-b83b-4488-8006-becad9637f27,471.5,15,,3,30,6,1,30,6,1,30,4,999995,999995,,999995,999995,999995,999995,,5/13/2016 17:25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,uuid:6eb96897-b83b-4488-8006-becad9637f27,Sogoreyah 2,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070232333,999995,moyenne_guinee,mamou,2,A côté du forage,95,95,3 4 5,6,2,Badenbayah,BandeBaya,,,0,mamou,oure_kaba,Sogoreyah ,Sogoreyah 2,Sogoreyah 2,995,,,,,5/13/2016,999995,999995,999995,999995,999995,uuid:6eb96897-b83b-4488-8006-becad9637f27,Sogoreyah 2,Sogoreyah 2
0,3367,3367,10.11342,-11.65462333,999995,0,999995,373.3,999995,,999995,999995,999995,999995,999995,999995,999995,999995,,999995,999995,,999995,999995,999995,999995,,5/23/2016 21:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999995,999995,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070227358,999995,,,3,,,,,,999995,,,,,0,,,,,,,,,,,5/23/2016,999995,999995,999995,999995,999995,uuid:2dbfc4aa-c2b6-4377-a774-60525d1aacf3,,
0,1424,1424,8.595948332999999,-10.29266833,999995,0,999995,124.6,30,,3,60,10,1,60,6,2,60,,999995,999995,,999995,999995,999995,999995,,5/3/2016 11:17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,uuid:6e5168ba-3d62-4ba5-8ff2-e2739d81e4df,999995,Guinee_Sondage_Communautaire_V1-4-3,imei:357835070234107,999995,guinee_forestiere,nzerekore,2,Forage,95,14,,,,,,,999995,1,gueckedou,nongoa,Kolignido,Keindou bongo,995,,,,,999995,5/3/2016,999995,999995,999995,999995,999995,uuid:6f1eae68-33b6-48b8-a85b-0c254f67cfab,Keindou bongo,995
0,123,123,7.594783333,-8.500693333,999995,0,999995,565.8,9999,,999995,999995,999995,999995,20,14,1,20,,999995,999995,,999995,999995,999995,999995,,5/3/2016 10:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999995,999995,Guinee_Sondage_Communautaire_V1-4-3,imei:357835070231822,999995,guinee_forestiere,nzerekore,2,Sur la route du Libéria,5,14,,,,,,,999995,1,lola,bossou,Thuo,Thuo centre,Thuo,Doyion,,,,999995,5/3/2016,999995,999995,999995,999995,999995,uuid:93761c4e-464f-4b88-b02c-ac8250e934c3,Thuo,Thuo
0,480,480,8.437001667,-10.55658333,Fagamadou,0,uuid:8d2bc8d7-573e-4f0b-9483-9a0a251f6162,449.2,15,,8,60,6,1,240,1,2,240,3,2,2,,999995,999995,999995,999995,"Riz, café.",5/10/2016 11:57,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,uuid:c7990cf4-43e7-422a-a8ad-bcdd9128fe81,999995,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070206881,999995,guinee_forestiere,nzerekore,2,Derrière le mont gbangbayssa,11,14,,3,999995,,,,Fangamadou centre,1,gueckedou,fangamadou,Gbondou,Fankissi,995,995,,,,,5/10/2016,999995,999995,999995,999995,999995,uuid:d813a686-f2fa-4eac-992c-05faea2c0ba6,Fankissi,995
0,1812,1812,8.817765,-10.46725167,Koundou,0,uuid:8ce0ef6d-d843-4241-8ac1-4025ab550007,416.3,23,,8,40,10,1,120,13,1,2,1,999995,999995,,1,999995,999995,999995,,5/13/2016 16:25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,999995,Dagadou.,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070233075,999995,guinee_forestiere,nzerekore,2,A côté du fleuve .,6,6,1 2 3 4 5,1,999995,,,,District de Toumandou.,0,gueckedou,kassadou,District de Belèssa,Yalandou,Dagadou.,995,,,,,5/13/2016,999995,999995,999995,999995,999995,uuid:9ae99273-471e-43bb-8d37-253fe7240d69,Dagadou.,Dagadou.
0,2518,2518,9.444575,-12.826464999999999,Moussaya,0,uuid: newrow1,106.8,7,,8,20,3,1,60,5,2,68,4 97,999995,999995,,999995,1,999995,999995,,5/25/2016 10:42,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,999995,Ganya,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070212913,999995,basse_guinee,kindia,2,Les Acacias et un baobab à la rentrée,5 95,5 16,1 2 3 4 5,95,999995,,,,Moussayah 2,0,forecariah,moussayah,Ganya,Simmè Sefary,995,995,,,,,5/25/2016,999995,999995,999995,999995,999995,uuid:a80e192c-3d8f-4f60-bda4-6ee3b3f9fefc,Simmè Sefary,995
0,294,294,7.825981667000001,-9.309406667000001,Bodezia,1,uuid:8e703044-5d39-42d8-b8db-26f4f8937c58,449.1,1040,Vent violent,3,15,10,1,10,14,1,6,2 3,10,2,,999995,999995,5,1,,5/10/2016 16:26,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,,Koyamah,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070412877,999995,guinee_forestiere,nzerekore,2,Derrière Koyamah,9 11,6 9,1 2 3 4 5,7,999995,,,,,0,macenta,koyamah,Bodezia,Bodezia centre,Koyamah,,,,,,5/10/2016,999995,999995,999995,999995,999995,uuid:8e703044-5d39-42d8-b8db-26f4f8937c58,Koyamah,Koyamah
0,5379,5378,8.242081666699999,-10.78577,999995,0,999995,270.5,999995,,999995,999995,999995,999995,999995,999995,999995,999995,,999995,999995,,999995,999995,999995,999995,,2016-06-22 08:56:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999995,999995,Sierra_Leone_Community_Survey_V_0_7_0,imei:357835070420300,,,,999995,,,,,,999995,,,,,0,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,,,,999995,0,uuid:5a903440-3cce-4ad0-a483-41a957ab921b,,999995
0,6283,6282,8.9606366667,-10.596739999999999,Totor,0,uuid:ca99160e-d95f-4206-91a1-8102f4719720,510.6,50,,11,120,6,2,1200,6,2,1200,1 3,0,1,,1,999995,999995,999995,"Palm oil,Cow milk,Pepper,Groundnut",2016-06-11 11:59:48,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,uuid:3e4f3aa4-658a-4e6e-8991-2c02f9e8f083,Kamidu,Sierra_Leone_Community_Survey_V_0_7_0,imei:357835070227028,,kono,toli,2,No,95,95,1 2 3 4 5 97,1,1,Bawadu Crossing,Kondobengu,,Kondewakoro,0,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,Village,No,27,2,0,uuid:8a61b1f6-3c8f-41a0-974e-75eb6adfddb9,Kamidu,999995
0,941,941,8.539214999999999,-10.38604333,Nongoa,0,uuid:0feb3800-a4f3-4711-bf7b-d0b3770c32e6,387.8,20,,8,60,6,1,140,16,1,5,95,999995,999995,,999995,999995,999995,999995,"Riz,manioc,sel,...",5/5/2016 11:46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,999995,Doyen Kama,Guinee_Sondage_Communautaire_V1-4-4,imei:357835070233075,999995,guinee_forestiere,nzerekore,2,"Une plantation de cacaoyère a côté du village,puis un petit village à l'intérieur.",95,95,1 2 3 4 5 97,2,1,Ne sais pas.,Nongoa centre,,Nongoa centre.,0,gueckedou,ouende_kenema,Bédou Kama,Daba kama,Doyen Kama,995,,999995,999995,,5/5/2016,999995,999995,999995,999995,999995,uuid:915525bc-594e-4ef3-98da-ff767b820076,Doyen Kama,Doyen Kama
0,6023,6022,8.648515,-10.4748,Densambadu,0,uuid:b70a70cc-4136-4e49-83db-4986628b3c2d,302.6,10,,11,10,10,2,120,6,2,150,1,999995,999995,,3,999995,999995,999995,Clothes cassava potato,2016-06-11 14:21:46,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,,Kardu,Sierra_Leone_Community_Survey_V_0_7_0,imei:357835070228877,,kono,mafindor,2,Plantations and river meli,6,5,,4,999995,,,,Begbekor,0,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,Village,1,28,2,0,uuid:cde0097f-68ef-47b3-aa20-ad0a30a55a22,Dendorbengu,999995
0,5262,5261,8.1598583333,-10.5044866667,Nyandehun,0,uuid:1f196ad8-7d1f-46d9-8da4-0ae12d24dca4,333.7,30,,8,20,10,2,160,5,2,160,4,999995,999995,,999995,999995,999995,999995,,2016-06-07 12:40:49,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,uuid:1f196ad8-7d1f-46d9-8da4-0ae12d24dca4,Levuma,Sierra_Leone_Community_Survey_V_0_7_0,imei:357835070440233,,kailahun,luawa,2,Upper kpombali,95,95,3 4 5,2,1,Bandoma crossing point,Sema,,Nyandehun tiwn,0,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,Village,Old,1,999995,0,uuid:0eb920b7-3ad9-4f3b-a428-e80fe5e9c768,Levuma,999995
0,440,440,8.416135,-9.539271667000001,Macenta,0,uuid:b8bbbe98-fed4-4526-8858-d7bfead0e642,533.2,100,,3,30,10,1,120,14,1,20,2 3 4,2,3,,999995,999995,6,3,,5/9/2016 13:19,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,999995,Nianvalazou,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070228661,999995,guinee_forestiere,nzerekore,2,Limité a l'est par béhizézou,,1,1 2 3 4 5,2 4,999995,,,"Varicelle, rousole,paludisme",9999,0,macenta,macenta_ctre,Nyanvalazou,Maeta,995,,,,,,5/9/2016,999995,999995,999995,999995,999995,uuid:3543da63-b817-448b-81db-f22e43f9ebe4,Maeta,995
0,1380,1380,8.589089999999999,-10.46316667,Koundou,215,uuid:8ce0ef6d-d843-4241-8ac1-4025ab550007,277.4,45,,8,45,10,1,120,14,1,5,3,2,3,,999995,999995,999995,999995,,5/4/2016 14:55,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,999995,Nongoa yombou,Guinee_Sondage_Communautaire_V1-4-4,imei:357835070227747,999995,guinee_forestiere,nzerekore,2,Quand tu quite mainian sir La route vs alle trouve un elize neo-ap,7,14,,1,999995,,,,Tangolon,1,gueckedou,koundou,Temessadou lengö bèngo,Nongoa yombou,995,995,,999995,999995,,5/4/2016,999995,999995,999995,999995,999995,uuid:28d4387d-2507-4ef2-a3ca-cc2a795d5c42,Nongoa yombou,995
0,848,848,8.526011667,-9.903918333,999995,0,999995,536.8,5,,3,30,6,1,999995,16,1,120,3,1,1,,999995,999995,999995,999995,,5/2/2016 13:36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,999995,Talassou,Guinee_Sondage_Communautaire_V1-4-3,imei:357835070206881,999995,guinee_forestiere,nzerekore,2,A cote du fleuve Makona,,16,,,2,Makona,Foleya,,999995,0,gueckedou,tekoulo,Bakama lela,Talassou,995,"Bellan ,Bello",,,,999995,5/2/2016,999995,999995,999995,999995,999995,uuid:c5ad39b5-780a-4273-9314-6c2a16debbd6,Talassou,995
0,4191,4190,8.1057283333,-10.3576633333,Kamatahun Market,0,uuid:19fc871c-c36a-43db-a622-b4d03404e876,480.2,60,,5,5,3,1,150,5,2,150,1 3,9,1,,3,999999,999999,999999,,2016-03-29 09:39:13,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,uuid:19fc871c-c36a-43db-a622-b4d03404e876,Johnson Village,Liberia_Community_Survey_v18,imei:357835070228968,,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,uuid:62f4e660-3bc3-450e-9651-973b5179fc10,Community  1,999995
0,4546,4545,8.405489999999999,-9.993875,Kolahun Market,0,uuid:3ea5db6b-695c-419e-bd94-ad345bdeb3e4,563.4,5,,8,10,10,1,280,5,2,280,1,999999,999999,,1,999999,999999,999999,,2016-03-25 10:51:35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,uuid:b7f67747-e0db-4f8a-81b1-924c71b9eb57,Duana,Liberia_Community_Survey_v18,imei:357835070234420,,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,999995,uuid:2d164b15-ccbc-4c80-9b33-d07ff5bc1624,Tawalahun  2,999995
0,3054,3054,9.981366667,-12.30638667,sekhousoryah,0,999995,114.4,8,,99,30,6,1,120,6,2,150,95,999995,999995,,999995,999995,999995,999995,,5/13/2016 13:52,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,uuid:b1cc1aed-414d-4552-8965-8f2aa10279c0,Sekhousoryah,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070232226,999995,basse_guinee,kindia,2,Près du mont doubayah,1,1,1 2 3 4 5,3,999995,,,,D'ar es salam,0,kindia,madina_oula,Sekhousoriyah,Hanhanbou,Hanhanbou 2,995,,,,,5/13/2016,999995,999995,999995,999995,999995,uuid:0614ee6c-2166-42a7-af68-5c656875e22f,Hanhanbou 2,Hanhanbou 2
0,1444,1444,8.600456667000001,-10.40957667,Koundou,215,uuid:8ce0ef6d-d843-4241-8ac1-4025ab550007,384.5,8,,5,6,10,1,3,5,1,3,3,2,1,,999995,999995,999995,999995,,5/5/2016 12:54,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,uuid:544a8133-03dc-47f8-88fa-986d727dc6fa,Koundou,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070227747,999995,guinee_forestiere,nzerekore,2,Après koeïko a quelque mètre tu est arrivé .,5,5,,1,999995,,,,,0,gueckedou,koundou,Temessadou lengö bengo,Dénèkendou,Bondodou,995,,,,,5/5/2016,999995,999995,999995,999995,999995,uuid:7c14357d-d107-4768-b545-51fdbd958e93,Bondodou,Bondodou
0,2292,2292,9.312185000000001,-13.04039333,999995,0,999995,64.1,60,Peur,8,60,6,1,30,5,2,30,2 3 4,999,1,,999995,999995,999,1,,5/5/2016 9:58,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,999995,999995,Guinee_Sondage_Communautaire_V1-4-7,imei:357835070228869,999995,basse_guinee,kindia,2,Sur la route de farmoriah après le carrefour de conta,95,16,,,999995,,,,Farmoriah,0,forecariah,farmoriah,Daara,Daara,Daara centre,995,,,,,5/5/2016,999995,999995,999995,999995,999995,uuid:d31b0c90-d05d-45e9-8171-b82fb04793b4,Daara centre,Daara centre
